subj,trial,word,group,response,rt,actualonset,stimOn,stimDur,accuracy
1,1,worm,j,j,0.5371399999130517,1.0008167999330908,1.0067332999315113,0.27402970008552074,1
1,2,moth,j,j,0.4871505000628531,3.5561189998406917,3.5686947000212967,0.28018189989961684,1
1,3,bear,f,f,0.35707509983330965,6.067520400043577,6.082523599965498,0.2719270000234246,1
1,4,hamster,f,f,0.4549972000531852,8.458609799854457,8.472809399943799,0.2735500999260694,1
1,5,butterfly,j,j,2.3707498000003397,10.934729699976742,10.949036599835381,0.27227400010451674,1
1,6,dog,f,f,0.4989950000308454,15.342310399981216,15.356749800033867,0.27405110001564026,1
1,7,ladybug,j,j,0.5702367001213133,17.87150779995136,17.885410599876195,0.27254729997366667,1
1,8,beetle,j,f,0.4880258000921458,20.465543400030583,20.479711399879307,0.2727910000830889,0
1,9,lion,f,j,0.4743123999796808,22.97423979989253,22.989378500031307,0.2728849998675287,0
1,10,cat,f,j,0.7246328999754041,25.48453599982895,25.4991859998554,0.2729260001797229,0
