subj,trial,word,group,response,rt,actualonset,stimOn,stimDur
1,1,dog,f,f,0.3521759,1.0011017,1.0159315,0.2754484
1,2,ladybug,j,f,3.5389281,3.3740749,3.3890615,0.2723839
1,3,moth,j,j,0.2835064,8.9344312,8.9493855,0.2750501
1,4,worm,j,j,0.4614057,11.2435294,11.2586826,0.2756397
1,5,cat,f,f,0.2792453,13.7373747,13.7525757,0.2755119
1,6,lion,f,f,0.4601304,16.0462472,16.0598953,0.2724637
1,7,butterfly,j,j,0.3997692,18.5374822,18.5521926,0.2743359
1,8,bear,f,f,0.4930362,20.9641334,20.9788949,0.2754052
1,9,hamster,f,f,0.5472626,23.4928523,23.5084343,0.2731814
1,10,beetle,j,j,0.345473,26.0711124,26.0864378,0.2727436
